params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'dropout_prop': 0.07870139736687026, 'hidden_size': 64, 'learning_rate': 0.0030462851115251014, 'sent_length': 12, 'use_class_weights': False}",8,1.6846,0.871,1.6731,0.8207,0.8714,0.8415
"{'dropout_prop': 0.45365064153091933, 'hidden_size': 32, 'learning_rate': 0.0026570218741312607, 'sent_length': 10, 'use_class_weights': False}",7,1.7234,0.835,1.7133,0.7499,0.8348,0.7868
"{'dropout_prop': 0.16526879436962272, 'hidden_size': 32, 'learning_rate': 0.004234926030159356, 'sent_length': 15, 'use_class_weights': True}",8,1.6134,0.947,1.6121,0.9491,0.9468,0.9465
"{'dropout_prop': 0.2982900623841065, 'hidden_size': 32, 'learning_rate': 0.012389338375172587, 'sent_length': 12, 'use_class_weights': True}",3,1.6441,0.935,1.6244,0.9366,0.9346,0.9349
"{'dropout_prop': 0.0776301181582515, 'hidden_size': 64, 'learning_rate': 0.00816175025735238, 'sent_length': 15, 'use_class_weights': True}",8,1.5972,0.942,1.6011,0.9447,0.9424,0.9428
"{'dropout_prop': 0.34002173879072883, 'hidden_size': 32, 'learning_rate': 0.010949047607144267, 'sent_length': 15, 'use_class_weights': False}",9,1.698,0.837,1.7046,0.7593,0.837,0.7905
"{'dropout_prop': 0.06055352260654867, 'hidden_size': 32, 'learning_rate': 0.020535602925993057, 'sent_length': 12, 'use_class_weights': False}",9,1.6406,0.896,1.6482,0.8654,0.8958,0.8785
"{'dropout_prop': 0.37671850439992294, 'hidden_size': 64, 'learning_rate': 0.01966558626466295, 'sent_length': 15, 'use_class_weights': False}",7,1.8011,0.779,1.764,0.7294,0.7794,0.7353
"{'dropout_prop': 0.20324933371079357, 'hidden_size': 64, 'learning_rate': 0.0018183396507335436, 'sent_length': 10, 'use_class_weights': True}",9,1.6146,0.951,1.6043,0.9527,0.9512,0.9514
"{'dropout_prop': 0.07764582499897371, 'hidden_size': 64, 'learning_rate': 0.0026443128489577017, 'sent_length': 12, 'use_class_weights': True}",8,1.616,0.937,1.6105,0.9402,0.9368,0.9376
"{'dropout_prop': 0.24441922963245183, 'hidden_size': 64, 'learning_rate': 0.016538980990062867, 'sent_length': 10, 'use_class_weights': True}",8,1.6378,0.918,1.6481,0.921,0.918,0.9179
"{'dropout_prop': 0.41747017538736886, 'hidden_size': 32, 'learning_rate': 0.001244307183251778, 'sent_length': 12, 'use_class_weights': False}",9,1.8741,0.669,1.8773,0.5246,0.6685,0.5773
"{'dropout_prop': 0.23317802507389773, 'hidden_size': 64, 'learning_rate': 0.002106857062265008, 'sent_length': 8, 'use_class_weights': True}",9,1.5973,0.945,1.6056,0.9479,0.9446,0.9449
"{'dropout_prop': 0.4945140435026253, 'hidden_size': 64, 'learning_rate': 0.003557546618395578, 'sent_length': 15, 'use_class_weights': False}",9,1.6722,0.895,1.6516,0.8782,0.8947,0.884
"{'dropout_prop': 0.15090906088539402, 'hidden_size': 64, 'learning_rate': 0.008421173337234413, 'sent_length': 12, 'use_class_weights': False}",9,1.6016,0.929,1.6162,0.9324,0.929,0.9291
"{'dropout_prop': 0.45181421201932037, 'hidden_size': 128, 'learning_rate': 0.0010695258407631316, 'sent_length': 15, 'use_class_weights': True}",8,1.6205,0.931,1.6211,0.9319,0.9313,0.931
"{'dropout_prop': 0.3468783962004479, 'hidden_size': 32, 'learning_rate': 0.0026012858515308567, 'sent_length': 8, 'use_class_weights': True}",9,1.6305,0.925,1.6301,0.9266,0.9246,0.9245
"{'dropout_prop': 0.1964929766173245, 'hidden_size': 128, 'learning_rate': 0.00426960433490792, 'sent_length': 10, 'use_class_weights': False}",9,1.6307,0.926,1.6178,0.9057,0.9257,0.9147
"{'dropout_prop': 0.12327177935655831, 'hidden_size': 64, 'learning_rate': 0.001278785866766257, 'sent_length': 8, 'use_class_weights': True}",9,1.6246,0.933,1.6205,0.9337,0.9335,0.9329
"{'dropout_prop': 0.19215891384978456, 'hidden_size': 64, 'learning_rate': 0.009338521247252303, 'sent_length': 8, 'use_class_weights': True}",8,1.61,0.939,1.6158,0.9412,0.939,0.9395
"{'dropout_prop': 0.006568766428721784, 'hidden_size': 128, 'learning_rate': 0.006890113637430585, 'sent_length': 10, 'use_class_weights': True}",9,1.5953,0.939,1.5991,0.9431,0.939,0.9398
"{'dropout_prop': 0.011066894921025262, 'hidden_size': 128, 'learning_rate': 0.006568066850748735, 'sent_length': 10, 'use_class_weights': True}",9,1.6033,0.95,1.6021,0.9511,0.9501,0.9499
"{'dropout_prop': 0.004828228804470151, 'hidden_size': 128, 'learning_rate': 0.005798463959366925, 'sent_length': 10, 'use_class_weights': True}",9,1.5944,0.942,1.6086,0.9429,0.9424,0.9422
"{'dropout_prop': 0.04112043402281858, 'hidden_size': 128, 'learning_rate': 0.007299188268997045, 'sent_length': 15, 'use_class_weights': True}",9,1.6036,0.951,1.6008,0.9536,0.9512,0.9518
"{'dropout_prop': 0.027472758821850792, 'hidden_size': 128, 'learning_rate': 0.014096951068446039, 'sent_length': 15, 'use_class_weights': True}",5,1.6449,0.9,1.6503,0.9144,0.9002,0.8988
"{'dropout_prop': 0.11071884855228462, 'hidden_size': 128, 'learning_rate': 0.02683331933830062, 'sent_length': 10, 'use_class_weights': True}",4,2.4517,0.118,2.4323,0.0138,0.1175,0.0247
"{'dropout_prop': 0.03804857860494554, 'hidden_size': 128, 'learning_rate': 0.006141015294728586, 'sent_length': 10, 'use_class_weights': True}",9,1.5997,0.946,1.6115,0.9466,0.9457,0.9448
"{'dropout_prop': 0.11740550257646065, 'hidden_size': 128, 'learning_rate': 0.004539801525144836, 'sent_length': 15, 'use_class_weights': True}",9,1.5889,0.951,1.5916,0.956,0.9512,0.952
"{'dropout_prop': 0.10007504628900939, 'hidden_size': 128, 'learning_rate': 0.0043711377763936314, 'sent_length': 15, 'use_class_weights': True}",8,1.603,0.956,1.5917,0.958,0.9557,0.9561
"{'dropout_prop': 0.11914357422187674, 'hidden_size': 128, 'learning_rate': 0.004775809027336782, 'sent_length': 15, 'use_class_weights': True}",9,1.5926,0.96,1.5883,0.9614,0.9601,0.9602
"{'dropout_prop': 0.27154261286872233, 'hidden_size': 128, 'learning_rate': 0.0016885634188831661, 'sent_length': 15, 'use_class_weights': True}",9,1.6156,0.932,1.6238,0.9333,0.9324,0.9322
"{'dropout_prop': 0.15007972452171292, 'hidden_size': 128, 'learning_rate': 0.003325088333216867, 'sent_length': 15, 'use_class_weights': True}",9,1.6164,0.951,1.5957,0.9531,0.9512,0.9513
"{'dropout_prop': 0.13319797822849896, 'hidden_size': 128, 'learning_rate': 0.0050628799606500215, 'sent_length': 15, 'use_class_weights': True}",9,1.5998,0.942,1.6014,0.9458,0.9424,0.943
"{'dropout_prop': 0.2817961796180867, 'hidden_size': 128, 'learning_rate': 0.0047441196830611135, 'sent_length': 15, 'use_class_weights': True}",9,1.6029,0.94,1.6033,0.9432,0.9401,0.9399
"{'dropout_prop': 0.1782059928489557, 'hidden_size': 128, 'learning_rate': 0.010397226653276404, 'sent_length': 15, 'use_class_weights': True}",8,1.6626,0.926,1.6322,0.9302,0.9257,0.9263
"{'dropout_prop': 0.2272101180480982, 'hidden_size': 128, 'learning_rate': 0.0035409572647563457, 'sent_length': 15, 'use_class_weights': True}",9,1.604,0.943,1.6141,0.9456,0.9435,0.9436
"{'dropout_prop': 0.09036694670929263, 'hidden_size': 32, 'learning_rate': 0.0028212477096636185, 'sent_length': 15, 'use_class_weights': False}",7,1.7116,0.843,1.7037,0.7682,0.8426,0.7986
"{'dropout_prop': 0.3148669814502514, 'hidden_size': 128, 'learning_rate': 0.001945740693214627, 'sent_length': 8, 'use_class_weights': True}",9,1.6051,0.945,1.6086,0.9469,0.9446,0.9447
"{'dropout_prop': 0.06851708823832005, 'hidden_size': 32, 'learning_rate': 0.0023537394393258813, 'sent_length': 12, 'use_class_weights': False}",9,1.7653,0.83,1.7224,0.7509,0.8304,0.7862
"{'dropout_prop': 0.16496489411163343, 'hidden_size': 128, 'learning_rate': 0.0014583507064224474, 'sent_length': 15, 'use_class_weights': True}",7,1.6257,0.936,1.6148,0.9367,0.9357,0.9352
"{'dropout_prop': 0.2153442123459923, 'hidden_size': 128, 'learning_rate': 0.012854220161989423, 'sent_length': 15, 'use_class_weights': True}",6,1.679,0.897,1.658,0.9035,0.8969,0.8974
"{'dropout_prop': 0.04733843508559253, 'hidden_size': 32, 'learning_rate': 0.02786595190217055, 'sent_length': 12, 'use_class_weights': False}",9,1.7174,0.816,1.7289,0.8013,0.816,0.803
"{'dropout_prop': 0.26061078732066556, 'hidden_size': 128, 'learning_rate': 0.003123487688383493, 'sent_length': 15, 'use_class_weights': True}",8,1.6059,0.945,1.6056,0.9464,0.9446,0.9441
"{'dropout_prop': 0.14394626520999426, 'hidden_size': 32, 'learning_rate': 0.0038345564487001055, 'sent_length': 15, 'use_class_weights': True}",8,1.6138,0.932,1.6186,0.9368,0.9324,0.9332
"{'dropout_prop': 0.11470248772231952, 'hidden_size': 128, 'learning_rate': 0.017501175287505888, 'sent_length': 8, 'use_class_weights': False}",5,2.3367,0.226,2.3169,0.0512,0.2262,0.0834
"{'dropout_prop': 0.17298798729804216, 'hidden_size': 128, 'learning_rate': 0.005351561771813963, 'sent_length': 12, 'use_class_weights': True}",8,1.6045,0.946,1.6089,0.9484,0.9457,0.9457
"{'dropout_prop': 0.37720752427380144, 'hidden_size': 64, 'learning_rate': 0.007998576532762381, 'sent_length': 15, 'use_class_weights': True}",8,1.6139,0.927,1.6283,0.9299,0.9268,0.9243
"{'dropout_prop': 0.08388847539878622, 'hidden_size': 32, 'learning_rate': 0.0023522726079289705, 'sent_length': 15, 'use_class_weights': False}",9,1.7136,0.835,1.7101,0.7513,0.8348,0.7883
"{'dropout_prop': 0.3326777543538355, 'hidden_size': 128, 'learning_rate': 0.02220582517279028, 'sent_length': 12, 'use_class_weights': True}",8,2.4485,0.042,2.422,0.0018,0.0421,0.0034
"{'dropout_prop': 0.22826019632725875, 'hidden_size': 64, 'learning_rate': 0.009586897486588997, 'sent_length': 8, 'use_class_weights': True}",8,1.6009,0.943,1.6078,0.9455,0.9435,0.9437
"{'dropout_prop': 0.29371316448773704, 'hidden_size': 128, 'learning_rate': 0.0038052782221059483, 'sent_length': 15, 'use_class_weights': False}",9,1.6756,0.885,1.6603,0.8263,0.8847,0.8531
"{'dropout_prop': 0.0681427591666888, 'hidden_size': 32, 'learning_rate': 0.011170141373046462, 'sent_length': 15, 'use_class_weights': True}",9,1.5956,0.939,1.5987,0.9436,0.939,0.9399
"{'dropout_prop': 0.21072714105517837, 'hidden_size': 64, 'learning_rate': 0.0015252956738275895, 'sent_length': 8, 'use_class_weights': True}",9,1.6209,0.935,1.6244,0.937,0.9346,0.9347
"{'dropout_prop': 0.18998899796896118, 'hidden_size': 128, 'learning_rate': 0.007764717666091255, 'sent_length': 12, 'use_class_weights': True}",9,1.6087,0.94,1.6033,0.9435,0.9401,0.941
"{'dropout_prop': 0.017402603665150188, 'hidden_size': 128, 'learning_rate': 0.015362610432697914, 'sent_length': 10, 'use_class_weights': False}",7,1.8145,0.761,1.7845,0.6756,0.7605,0.7003
"{'dropout_prop': 0.13189351163385485, 'hidden_size': 64, 'learning_rate': 0.002867714070542014, 'sent_length': 15, 'use_class_weights': True}",9,1.6039,0.953,1.5993,0.9568,0.9534,0.9537
"{'dropout_prop': 0.2503472985131986, 'hidden_size': 128, 'learning_rate': 0.001057815402727082, 'sent_length': 15, 'use_class_weights': True}",9,1.6197,0.948,1.6042,0.9512,0.9479,0.9486
"{'dropout_prop': 0.35919070498222677, 'hidden_size': 128, 'learning_rate': 0.006383825121089909, 'sent_length': 10, 'use_class_weights': True}",8,1.6022,0.936,1.6058,0.9393,0.9357,0.9359
"{'dropout_prop': 0.05142419748403115, 'hidden_size': 32, 'learning_rate': 0.004707590629870785, 'sent_length': 8, 'use_class_weights': False}",8,1.6702,0.884,1.6631,0.8198,0.8836,0.8488
"{'dropout_prop': 0.4149994401429571, 'hidden_size': 128, 'learning_rate': 0.002524567254232099, 'sent_length': 15, 'use_class_weights': True}",8,1.6181,0.941,1.6043,0.9474,0.9412,0.9426
"{'dropout_prop': 0.16018938165757385, 'hidden_size': 64, 'learning_rate': 0.002046814863095539, 'sent_length': 12, 'use_class_weights': True}",9,1.6075,0.947,1.6053,0.9491,0.9468,0.9469
"{'dropout_prop': 0.029402642270395407, 'hidden_size': 128, 'learning_rate': 0.008666663692303667, 'sent_length': 15, 'use_class_weights': True}",8,1.5977,0.939,1.6068,0.9414,0.939,0.9387
"{'dropout_prop': 0.0996726729517666, 'hidden_size': 128, 'learning_rate': 0.0056706023900996196, 'sent_length': 10, 'use_class_weights': True}",9,1.6002,0.945,1.6056,0.9459,0.9446,0.9449
"{'dropout_prop': 0.11453121772567265, 'hidden_size': 128, 'learning_rate': 0.011911038109093778, 'sent_length': 15, 'use_class_weights': False}",4,2.3478,0.216,2.3269,0.0467,0.2162,0.0769
"{'dropout_prop': 0.13979477692368175, 'hidden_size': 32, 'learning_rate': 0.004058918664736581, 'sent_length': 8, 'use_class_weights': True}",9,1.6137,0.94,1.6096,0.9428,0.9401,0.9405
"{'dropout_prop': 0.1848819646233399, 'hidden_size': 128, 'learning_rate': 0.003305532218357785, 'sent_length': 15, 'use_class_weights': True}",9,1.5897,0.947,1.6027,0.9479,0.9468,0.9467
"{'dropout_prop': 0.09750190846551245, 'hidden_size': 128, 'learning_rate': 0.004701681957039457, 'sent_length': 15, 'use_class_weights': True}",8,1.6007,0.953,1.5956,0.9552,0.9534,0.9535
"{'dropout_prop': 0.0010324733241243444, 'hidden_size': 128, 'learning_rate': 0.006986873939066275, 'sent_length': 15, 'use_class_weights': True}",9,1.5909,0.937,1.6031,0.9413,0.9368,0.9375
"{'dropout_prop': 0.06365768416460557, 'hidden_size': 128, 'learning_rate': 0.0042631663942685775, 'sent_length': 15, 'use_class_weights': True}",7,1.6014,0.943,1.609,0.945,0.9435,0.9432
"{'dropout_prop': 0.08029472772107134, 'hidden_size': 128, 'learning_rate': 0.002302471445536193, 'sent_length': 15, 'use_class_weights': True}",9,1.6081,0.937,1.6169,0.9378,0.9368,0.9366
"{'dropout_prop': 0.15747028902632418, 'hidden_size': 128, 'learning_rate': 0.006006464677508437, 'sent_length': 15, 'use_class_weights': True}",8,1.6074,0.942,1.6071,0.9457,0.9424,0.9429
"{'dropout_prop': 0.4869628935279104, 'hidden_size': 128, 'learning_rate': 0.005155016891092401, 'sent_length': 15, 'use_class_weights': True}",9,1.5975,0.935,1.6078,0.9407,0.9346,0.9353
"{'dropout_prop': 0.11928031951545426, 'hidden_size': 128, 'learning_rate': 0.0030264154788222524, 'sent_length': 15, 'use_class_weights': True}",9,1.6113,0.943,1.6105,0.9445,0.9435,0.9435
"{'dropout_prop': 0.24083687740036347, 'hidden_size': 128, 'learning_rate': 0.004516914541215871, 'sent_length': 15, 'use_class_weights': True}",9,1.6057,0.938,1.6081,0.9402,0.9379,0.9376
"{'dropout_prop': 0.2043336644933914, 'hidden_size': 128, 'learning_rate': 0.0016856315865301469, 'sent_length': 15, 'use_class_weights': True}",9,1.6131,0.924,1.6249,0.927,0.9235,0.9239
"{'dropout_prop': 0.10082095796888324, 'hidden_size': 128, 'learning_rate': 0.0011875156305421355, 'sent_length': 10, 'use_class_weights': True}",9,1.6171,0.94,1.6136,0.9411,0.9401,0.9401
"{'dropout_prop': 0.02168040361629546, 'hidden_size': 64, 'learning_rate': 0.0035286190371651717, 'sent_length': 12, 'use_class_weights': True}",9,1.6076,0.942,1.6067,0.9437,0.9424,0.9422
"{'dropout_prop': 0.05502710849056658, 'hidden_size': 128, 'learning_rate': 0.007480794253107013, 'sent_length': 15, 'use_class_weights': True}",9,1.6068,0.938,1.6178,0.939,0.9379,0.9373
"{'dropout_prop': 0.03819720998670434, 'hidden_size': 128, 'learning_rate': 0.003914262479233856, 'sent_length': 15, 'use_class_weights': True}",8,1.6029,0.945,1.6043,0.9491,0.9446,0.9453
"{'dropout_prop': 0.12748100126423895, 'hidden_size': 32, 'learning_rate': 0.009642022075345468, 'sent_length': 15, 'use_class_weights': False}",9,1.6319,0.922,1.6252,0.9218,0.9224,0.9191
"{'dropout_prop': 0.17526200807996734, 'hidden_size': 128, 'learning_rate': 0.008949716501168072, 'sent_length': 8, 'use_class_weights': True}",8,1.6135,0.939,1.6123,0.9458,0.939,0.9396
"{'dropout_prop': 0.07183123255175876, 'hidden_size': 64, 'learning_rate': 0.006758652929621063, 'sent_length': 15, 'use_class_weights': True}",9,1.5952,0.955,1.5935,0.9568,0.9545,0.9549
"{'dropout_prop': 0.2620997722801471, 'hidden_size': 128, 'learning_rate': 0.005320661961376881, 'sent_length': 12, 'use_class_weights': True}",9,1.6061,0.955,1.5927,0.9557,0.9545,0.9546
"{'dropout_prop': 0.21587565974231732, 'hidden_size': 128, 'learning_rate': 0.013251325792824436, 'sent_length': 10, 'use_class_weights': False}",9,1.9179,0.661,1.8786,0.5107,0.6608,0.567
"{'dropout_prop': 0.31595200195706824, 'hidden_size': 32, 'learning_rate': 0.0026184956248390965, 'sent_length': 15, 'use_class_weights': True}",9,1.6308,0.918,1.6372,0.9236,0.918,0.9178
"{'dropout_prop': 0.14580518300937095, 'hidden_size': 128, 'learning_rate': 0.0033250400602600027, 'sent_length': 15, 'use_class_weights': True}",8,1.6144,0.936,1.6136,0.9406,0.9357,0.9364
"{'dropout_prop': 0.09155399869155523, 'hidden_size': 64, 'learning_rate': 0.002857311374887178, 'sent_length': 8, 'use_class_weights': True}",7,1.6166,0.938,1.6096,0.9414,0.9379,0.9386
"{'dropout_prop': 0.17189533876960644, 'hidden_size': 128, 'learning_rate': 0.006157016385255783, 'sent_length': 15, 'use_class_weights': False}",9,1.6884,0.871,1.6691,0.8451,0.8714,0.8487
"{'dropout_prop': 0.1051657151576046, 'hidden_size': 128, 'learning_rate': 0.0022310021906760368, 'sent_length': 12, 'use_class_weights': True}",9,1.6057,0.937,1.6215,0.9366,0.9368,0.9365
"{'dropout_prop': 0.08323165552717225, 'hidden_size': 32, 'learning_rate': 0.0018826762069641175, 'sent_length': 10, 'use_class_weights': True}",9,1.6125,0.928,1.6265,0.9342,0.9279,0.9291
"{'dropout_prop': 0.19715895801761774, 'hidden_size': 128, 'learning_rate': 0.023178569481954403, 'sent_length': 15, 'use_class_weights': True}",5,2.4565,0.084,2.431,0.0071,0.0843,0.0131
"{'dropout_prop': 0.2819568921230511, 'hidden_size': 128, 'learning_rate': 0.010179958283054801, 'sent_length': 15, 'use_class_weights': True}",6,1.6206,0.919,1.6331,0.9225,0.9191,0.9166
"{'dropout_prop': 0.15474501471066743, 'hidden_size': 64, 'learning_rate': 0.00808008090998288, 'sent_length': 8, 'use_class_weights': False}",9,1.6254,0.931,1.6164,0.9177,0.9313,0.9236
"{'dropout_prop': 0.13855329220967078, 'hidden_size': 128, 'learning_rate': 0.0014857385714237058, 'sent_length': 15, 'use_class_weights': True}",9,1.6157,0.945,1.608,0.9469,0.9446,0.9444
"{'dropout_prop': 0.010544764798392767, 'hidden_size': 128, 'learning_rate': 0.005006593466540839, 'sent_length': 15, 'use_class_weights': True}",8,1.6031,0.942,1.6095,0.9449,0.9424,0.9424
"{'dropout_prop': 0.12504713538976348, 'hidden_size': 32, 'learning_rate': 0.00441688951789077, 'sent_length': 12, 'use_class_weights': True}",9,1.6061,0.943,1.6095,0.9445,0.9435,0.9437
"{'dropout_prop': 0.18152048696659073, 'hidden_size': 128, 'learning_rate': 0.0056017239783559165, 'sent_length': 10, 'use_class_weights': False}",9,1.6284,0.907,1.6362,0.8822,0.9069,0.8928
"{'dropout_prop': 0.04839592356511867, 'hidden_size': 128, 'learning_rate': 0.003650684422788285, 'sent_length': 15, 'use_class_weights': True}",8,1.5982,0.95,1.5946,0.952,0.9501,0.9502
"{'dropout_prop': 0.2331079556826498, 'hidden_size': 64, 'learning_rate': 0.004091110458365311, 'sent_length': 15, 'use_class_weights': True}",9,1.5997,0.961,1.5906,0.9619,0.9612,0.9611
"{'dropout_prop': 0.4233616956587758, 'hidden_size': 64, 'learning_rate': 0.017769770893835423, 'sent_length': 15, 'use_class_weights': True}",3,1.6662,0.898,1.6604,0.9042,0.898,0.898
"{'dropout_prop': 0.3169200832064693, 'hidden_size': 64, 'learning_rate': 0.003103566782306827, 'sent_length': 8, 'use_class_weights': True}",9,1.6103,0.932,1.6248,0.9344,0.9324,0.9326
"{'dropout_prop': 0.3577035048289872, 'hidden_size': 64, 'learning_rate': 0.0020655604073248077, 'sent_length': 15, 'use_class_weights': True}",9,1.6089,0.928,1.6214,0.9303,0.9279,0.9279
