params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.41148692679172094, 'learning_rate': 0.016683916406093683, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': False}",8,0.063,0.977,0.0545,0.9803,0.9766,0.9769
"{'bidirectional': False, 'dropout_prop': 0.29841362204982386, 'learning_rate': 0.0017594247612760577, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': True}",9,2.3871,0.148,2.2693,0.1501,0.1484,0.1135
"{'bidirectional': False, 'dropout_prop': 0.15098227669614178, 'learning_rate': 0.0021397391644373503, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 12, 'use_class_weights': True}",9,2.3613,0.227,2.2789,0.1096,0.2266,0.1441
"{'bidirectional': True, 'dropout_prop': 0.30341737956094345, 'learning_rate': 0.023702976185469175, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",3,0.8357,0.766,0.8226,0.7818,0.7656,0.7522
"{'bidirectional': False, 'dropout_prop': 0.3488635340193765, 'learning_rate': 0.0019280466626005813, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",1,2.2703,0.258,2.2223,0.067,0.2578,0.1063
"{'bidirectional': True, 'dropout_prop': 0.1326283105984289, 'learning_rate': 0.006843376985453458, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",8,0.1088,0.977,0.0977,0.9799,0.9766,0.9765
"{'bidirectional': True, 'dropout_prop': 0.1662077765747188, 'learning_rate': 0.019217492005963364, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': False}",7,0.9461,0.734,0.8822,0.7641,0.7344,0.7273
"{'bidirectional': True, 'dropout_prop': 0.2964208688218932, 'learning_rate': 0.02708753189557664, 'nb_lstm_layers': 2, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",6,0.2093,0.977,0.1004,0.9781,0.9766,0.9767
"{'bidirectional': True, 'dropout_prop': 0.28523149018576704, 'learning_rate': 0.004580111494128412, 'nb_lstm_layers': 2, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",6,0.3165,0.93,0.2423,0.9369,0.9297,0.9301
"{'bidirectional': False, 'dropout_prop': 0.1547483895182235, 'learning_rate': 0.002538992891388677, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,2.2626,0.195,2.2391,0.04,0.1953,0.0664
"{'bidirectional': True, 'dropout_prop': 0.459477416672849, 'learning_rate': 0.011973789910210522, 'nb_lstm_layers': 2, 'nb_lstm_units': 32, 'sent_length': 12, 'use_class_weights': False}",9,0.2497,0.977,0.1625,0.9785,0.9766,0.9765
"{'bidirectional': False, 'dropout_prop': 0.25675661278244644, 'learning_rate': 0.016278530788461032, 'nb_lstm_layers': 2, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",9,1.6405,0.43,1.4498,0.2782,0.4297,0.3282
"{'bidirectional': True, 'dropout_prop': 0.3699646318041774, 'learning_rate': 0.0010129460057547851, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': True}",5,0.4005,0.898,0.2828,0.9141,0.8984,0.9013
"{'bidirectional': False, 'dropout_prop': 0.3451485253319597, 'learning_rate': 0.0054308879339713964, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",2,2.2698,0.227,2.2058,0.0513,0.2266,0.0837
"{'bidirectional': False, 'dropout_prop': 0.47708330591600734, 'learning_rate': 0.005353302909627664, 'nb_lstm_layers': 3, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': True}",9,2.1031,0.109,1.9563,0.1343,0.1094,0.0989
"{'bidirectional': True, 'dropout_prop': 0.21029985265757606, 'learning_rate': 0.011919618066296834, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",9,0.0724,0.992,0.0531,0.9931,0.9922,0.9924
"{'bidirectional': False, 'dropout_prop': 0.391430305873928, 'learning_rate': 0.0011262581214137443, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 8, 'use_class_weights': False}",6,2.1873,0.359,1.8451,0.1395,0.3594,0.1991
"{'bidirectional': False, 'dropout_prop': 0.463754501481752, 'learning_rate': 0.001129964802185771, 'nb_lstm_layers': 3, 'nb_lstm_units': 32, 'sent_length': 12, 'use_class_weights': True}",8,2.1217,0.156,2.1326,0.1798,0.1562,0.1406
"{'bidirectional': True, 'dropout_prop': 0.18566517806763017, 'learning_rate': 0.027772253032999846, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': True}",7,0.1419,0.977,0.1282,0.9781,0.9766,0.9761
