params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'dropout_prop': 0.22355201014717396, 'hidden_size': 32, 'learning_rate': 0.005184321703245956, 'sent_length': 10, 'use_class_weights': False}",8,1.7144,0.839,1.7067,0.7569,0.8392,0.7926
"{'dropout_prop': 0.03496867524062136, 'hidden_size': 128, 'learning_rate': 0.011373586291399644, 'sent_length': 12, 'use_class_weights': False}",9,1.8049,0.758,1.7846,0.6902,0.7583,0.7146
"{'dropout_prop': 0.17374191097938807, 'hidden_size': 64, 'learning_rate': 0.006645522673928974, 'sent_length': 8, 'use_class_weights': False}",9,1.6373,0.917,1.6283,0.8891,0.9169,0.9011
"{'dropout_prop': 0.4196920098098108, 'hidden_size': 32, 'learning_rate': 0.0012626402118208625, 'sent_length': 15, 'use_class_weights': True}",9,1.6641,0.909,1.6531,0.913,0.9091,0.91
"{'dropout_prop': 0.020525957327968358, 'hidden_size': 128, 'learning_rate': 0.005100545614353308, 'sent_length': 15, 'use_class_weights': True}",8,1.597,0.961,1.5891,0.962,0.9612,0.961
"{'dropout_prop': 0.19514327456290237, 'hidden_size': 32, 'learning_rate': 0.00871385559993659, 'sent_length': 15, 'use_class_weights': True}",8,1.6042,0.938,1.6082,0.941,0.9379,0.9387
"{'dropout_prop': 0.22469413187952336, 'hidden_size': 128, 'learning_rate': 0.00196010629348865, 'sent_length': 8, 'use_class_weights': True}",7,1.6238,0.942,1.6121,0.9455,0.9424,0.943
"{'dropout_prop': 0.07583621940592611, 'hidden_size': 64, 'learning_rate': 0.0021104598738583675, 'sent_length': 12, 'use_class_weights': False}",9,1.7017,0.846,1.7037,0.7922,0.8459,0.8142
"{'dropout_prop': 0.18462694328579055, 'hidden_size': 32, 'learning_rate': 0.007451614641742011, 'sent_length': 10, 'use_class_weights': False}",7,1.7125,0.854,1.6947,0.7768,0.8537,0.8098
"{'dropout_prop': 0.03737450401549597, 'hidden_size': 128, 'learning_rate': 0.003590759138676407, 'sent_length': 12, 'use_class_weights': False}",8,1.7624,0.782,1.7608,0.6505,0.7816,0.7065
"{'dropout_prop': 0.21236803008603772, 'hidden_size': 128, 'learning_rate': 0.0019096257076127265, 'sent_length': 10, 'use_class_weights': False}",9,1.6791,0.859,1.6825,0.8171,0.8592,0.8288
"{'dropout_prop': 0.31119847408262785, 'hidden_size': 64, 'learning_rate': 0.0018063313783626565, 'sent_length': 8, 'use_class_weights': False}",9,1.7328,0.774,1.7669,0.691,0.7738,0.7272
"{'dropout_prop': 0.05794029960783259, 'hidden_size': 32, 'learning_rate': 0.014580290204669232, 'sent_length': 8, 'use_class_weights': False}",8,1.6658,0.889,1.6537,0.824,0.8891,0.8538
"{'dropout_prop': 0.08026105585996557, 'hidden_size': 32, 'learning_rate': 0.019201015947249822, 'sent_length': 10, 'use_class_weights': False}",8,1.6763,0.865,1.6783,0.8129,0.8647,0.8349
"{'dropout_prop': 0.2676166422100855, 'hidden_size': 32, 'learning_rate': 0.008062967263322946, 'sent_length': 12, 'use_class_weights': True}",9,1.6234,0.919,1.6326,0.9232,0.9191,0.9199
"{'dropout_prop': 0.14307100491521235, 'hidden_size': 64, 'learning_rate': 0.0014008030941358026, 'sent_length': 8, 'use_class_weights': False}",9,1.7346,0.818,1.7246,0.7401,0.8182,0.7731
"{'dropout_prop': 0.21466834688662173, 'hidden_size': 32, 'learning_rate': 0.023037483075030726, 'sent_length': 8, 'use_class_weights': True}",6,1.6457,0.915,1.6419,0.9164,0.9146,0.9136
"{'dropout_prop': 0.17573602397917798, 'hidden_size': 64, 'learning_rate': 0.002548998978997356, 'sent_length': 12, 'use_class_weights': False}",7,1.6782,0.868,1.6756,0.824,0.8681,0.8415
"{'dropout_prop': 0.4967913772385174, 'hidden_size': 128, 'learning_rate': 0.008932094471708797, 'sent_length': 10, 'use_class_weights': False}",9,1.6666,0.879,1.665,0.8574,0.8792,0.8644
"{'dropout_prop': 0.06654589076142103, 'hidden_size': 64, 'learning_rate': 0.005832780343115016, 'sent_length': 15, 'use_class_weights': True}",9,1.5986,0.955,1.5903,0.9575,0.9545,0.955
"{'dropout_prop': 0.11791495982404367, 'hidden_size': 64, 'learning_rate': 0.004329989209279861, 'sent_length': 15, 'use_class_weights': True}",8,1.5975,0.951,1.59,0.9542,0.9512,0.9518
"{'dropout_prop': 0.1261299470328736, 'hidden_size': 128, 'learning_rate': 0.0035927261359645214, 'sent_length': 15, 'use_class_weights': True}",9,1.6031,0.959,1.5875,0.9603,0.959,0.959
"{'dropout_prop': 0.013358666707880718, 'hidden_size': 128, 'learning_rate': 0.003337697532229163, 'sent_length': 15, 'use_class_weights': True}",9,1.6072,0.939,1.6073,0.9446,0.939,0.9396
"{'dropout_prop': 0.11924024064336139, 'hidden_size': 128, 'learning_rate': 0.002973931967140564, 'sent_length': 15, 'use_class_weights': True}",9,1.6044,0.947,1.603,0.9487,0.9468,0.9471
"{'dropout_prop': 0.006444221143751577, 'hidden_size': 128, 'learning_rate': 0.004570634621909581, 'sent_length': 15, 'use_class_weights': True}",9,1.6121,0.935,1.6154,0.9366,0.9346,0.935
"{'dropout_prop': 0.3394992939939443, 'hidden_size': 128, 'learning_rate': 0.011301211326066795, 'sent_length': 15, 'use_class_weights': True}",7,1.6365,0.915,1.6411,0.9232,0.9146,0.9149
"{'dropout_prop': 0.121244851120893, 'hidden_size': 128, 'learning_rate': 0.0010132473543456803, 'sent_length': 15, 'use_class_weights': True}",9,1.6195,0.928,1.6291,0.9324,0.9279,0.9289
"{'dropout_prop': 0.27303373797880354, 'hidden_size': 128, 'learning_rate': 0.004186434445911359, 'sent_length': 15, 'use_class_weights': True}",9,1.5979,0.943,1.6047,0.9461,0.9435,0.9436
"{'dropout_prop': 0.14690141549722033, 'hidden_size': 128, 'learning_rate': 0.0054304190830537415, 'sent_length': 15, 'use_class_weights': True}",8,1.6062,0.942,1.6084,0.9449,0.9424,0.9429
