loss,params,iteration,accuracy,f1,precision,recall
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 4}, {'filter3': 8})}, 'dropout': 0.35, 'filters': 250, 'learning_rate': 0.002988319430946123, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.454,2.4471,0,0.0484,0.0023,0.0484,0.0045
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 6}, {'filter3': 5})}, 'dropout': 0.35, 'filters': 150, 'learning_rate': 0.00125022489424727, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7874,1.8376,23,0.7284,0.6524,0.7284,0.6771
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 8}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.009648788745874022, 'optimizer': 'Adam', 'use_batch_norm': False}",2.0275,2.0493,20,0.4695,0.3508,0.4695,0.3823
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.005984104531890327, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4529,2.4441,12,0.04,0.0016,0.04,0.0031
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 10}, {'filter3': 2})}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.005464703303758874, 'optimizer': 'RMSprop', 'use_batch_norm': True}",2.4453,2.4671,0,0.0358,0.0013,0.0358,0.0025
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 11},)}, 'dropout': 0, 'filters': 200, 'learning_rate': 0.002064206303247061, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5669,1.7206,21,0.8716,0.8712,0.8716,0.8694
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 7}, {'filter2': 9})}, 'dropout': 0.45, 'filters': 150, 'learning_rate': 0.015119896663458874, 'optimizer': 'RMSprop', 'use_batch_norm': True}",2.4501,2.4608,0,0.0779,0.0061,0.0779,0.0113
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 1}, {'filter2': 8})}, 'dropout': 0, 'filters': 100, 'learning_rate': 0.002673784004128799, 'optimizer': 'RMSprop', 'use_batch_norm': True}",2.4527,2.4536,0,0.0442,0.002,0.0442,0.0037
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 10}, {'filter3': 13})}, 'dropout': 0.15, 'filters': 100, 'learning_rate': 0.00275770274063787, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6143,1.7162,13,0.8632,0.8678,0.8632,0.8633
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 2},)}, 'dropout': 0.05, 'filters': 250, 'learning_rate': 0.00927580683217105, 'optimizer': 'Adam', 'use_batch_norm': True}",2.2481,2.2583,17,0.2547,0.0941,0.2547,0.1315
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 13}, {'filter3': 2})}, 'dropout': 0.35, 'filters': 100, 'learning_rate': 0.001979678223860251, 'optimizer': 'Adam', 'use_batch_norm': True}",1.8286,1.8705,23,0.7326,0.6924,0.7326,0.7052
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 14}, {'filter2': 12})}, 'dropout': 0.45, 'filters': 100, 'learning_rate': 0.0017232265391013617, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6245,1.7334,21,0.8505,0.8498,0.8505,0.8495
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 7},)}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.00150686715039929, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7157,1.8014,23,0.7768,0.7347,0.7768,0.7526
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 10}, {'filter3': 14})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.007401958651063728, 'optimizer': 'RMSprop', 'use_batch_norm': True}",2.4495,2.4497,0,0.0568,0.0032,0.0568,0.0061
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 2}, {'filter3': 14})}, 'dropout': 0.3, 'filters': 100, 'learning_rate': 0.0010829103382324807, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5948,1.7434,24,0.8674,0.8802,0.8674,0.8691
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 11}, {'filter3': 5})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.002351699796334915, 'optimizer': 'Adam', 'use_batch_norm': True}",1.9309,1.9921,20,0.6589,0.518,0.6589,0.5721
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 10}, {'filter2': 8})}, 'dropout': 0.4, 'filters': 250, 'learning_rate': 0.006911254658804624, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4522,2.447,0,0.1811,0.0328,0.1811,0.0555
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 14}, {'filter2': 3})}, 'dropout': 0.4, 'filters': 250, 'learning_rate': 0.009702430300845973, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4549,2.4461,0,0.1179,0.0139,0.1179,0.0249
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 11}, {'filter2': 11})}, 'dropout': 0.4, 'filters': 100, 'learning_rate': 0.006024043110865384, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6524,1.7507,16,0.7684,0.7909,0.7684,0.771
